年,月,日,気温,品質,均質
2012,2,28,4.6,8,1
2012,2,29,6.9,8,1
2012,3,1,7.6,8,1
2012,3,2,10.2,8,1
2012,3,3,10.7,8,1
2012,3,4,7.7,8,1
2012,3,5,9.7,8,1
2012,3,6,11.2,8,1
2012,3,7,9.3,8,1
2012,3,8,9.1,8,1
2012,3,9,9.7,8,1
2012,3,10,9,8,1
2012,3,11,6.3,8,1
2012,3,12,3.6,8,1
2012,3,13,4.7,8,1
2012,3,14,7.4,8,1
2012,3,15,9.5,8,1
2012,3,16,9.6,8,1
2012,3,17,14.5,8,1
2012,3,18,12.6,8,1
2012,3,19,9.6,8,1
2012,3,20,8.4,8,1
2012,3,21,8.7,8,1
2012,3,22,9.9,8,1
2012,3,23,10.3,8,1
2012,3,24,9.3,8,1
2012,3,25,8.3,8,1
2012,3,26,7.5,8,1
2012,3,27,10.5,8,1
2012,3,28,13.2,8,1
2012,3,29,14.2,8,1
2012,3,30,18.5,8,1
2012,3,31,11.2,8,1
2012,4,1,9.2,8,1
2012,4,2,12.9,8,1
2012,4,3,12.6,8,1
2012,4,4,11.2,8,1
2012,4,5,13.4,8,1
2012,4,6,11.5,8,1
2012,4,7,9,8,1
2012,4,8,14.1,8,1
2012,4,9,17.8,8,1
2012,4,10,16.4,8,1
2012,4,11,16.3,8,1
2012,4,12,15.7,8,1
2012,4,13,13,8,1
2012,4,14,13.5,8,1
2012,4,15,15.1,8,1
2012,4,16,17.3,8,1
2012,4,17,14.9,8,1
2012,4,18,15.7,8,1
2012,4,19,16.3,8,1
2012,4,20,16.6,5,1
2012,4,21,17.8,8,1
2012,4,22,17.7,8,1
2012,4,23,17.8,8,1
2012,4,24,19.6,8,1
2012,4,25,16.9,8,1
2012,4,26,16,8,1
2012,4,27,15.5,8,1
2012,4,28,18.3,8,1
2012,4,29,18.9,8,1
2012,4,30,17.4,8,1
2012,5,1,20.5,8,1
2012,5,2,18.2,8,1
2012,5,3,16.2,8,1
2012,5,4,16,8,1
2012,5,5,20.8,8,1
2012,5,6,21.1,8,1
2012,5,7,21,8,1
2012,5,8,22.4,8,1
2012,5,9,20.4,8,1
2012,5,10,17.4,8,1
2012,5,11,15.5,8,1
2012,5,12,15.7,8,1
2012,5,13,17.4,8,1
2012,5,14,18.1,8,1
2012,5,15,18.5,8,1
2012,5,16,21.1,8,1
2012,5,17,20.7,8,1
2012,5,18,17.9,8,1
2012,5,19,18.7,8,1
2012,5,20,19.7,8,1
2012,5,21,19.5,8,1
2012,5,22,20.5,8,1
2012,5,23,19.4,8,1
2012,5,24,20.7,8,1
2012,5,25,18,8,1
2012,5,26,19.3,8,1
2012,5,27,20.8,8,1
2012,5,28,21,8,1
2012,5,29,21.5,8,1
2012,5,30,21.3,8,1
2012,5,31,21.8,8,1
2012,6,1,22,8,1
2012,6,2,22.4,8,1
2012,6,3,23,8,1
2012,6,4,23.2,8,1
2012,6,5,21,8,1
2012,6,6,21.9,8,1
2012,6,7,23,8,1
2012,6,8,21.4,8,1
2012,6,9,21.3,8,1
2012,6,10,22.5,8,1
2012,6,11,22.3,8,1
2012,6,12,22.9,8,1
2012,6,13,23.7,8,1
2012,6,14,24.7,8,1
2012,6,15,23.1,8,1
2012,6,16,20.9,8,1
2012,6,17,22.9,8,1
2012,6,18,21.5,8,1
2012,6,19,21.4,8,1
2012,6,20,22,8,1
2012,6,21,20.9,8,1
2012,6,22,22,8,1
2012,6,23,23.6,8,1
2012,6,24,21.3,8,1
2012,6,25,22.3,8,1
2012,6,26,23.1,8,1
2012,6,27,22.4,8,1
2012,6,28,23,8,1
2012,6,29,24.4,8,1
2012,6,30,26.1,8,1
2012,7,1,25.3,8,1
2012,7,2,25.4,8,1
2012,7,3,23.9,8,1
2012,7,4,24.4,8,1
2012,7,5,26.6,8,1
2012,7,6,27.4,8,1
2012,7,7,23.1,8,1
2012,7,8,22.6,8,1
2012,7,9,23.9,8,1
2012,7,10,26.4,8,1
2012,7,11,26.8,8,1
2012,7,12,27.8,8,1
2012,7,13,24.9,8,1
